name:suite,T_instructions,T_cycles,T_stalled_cycles_backend,T_lsq_load_evs,T_lsq_store_evs,time_elapsed_s,speedup_il,speedup_an,best_policy,G_mem_acc_sum,G_mem_acc_std,G_mem_acc_to_max,G_mem_acc_to_std,G_mem_acc_to_sqrtsumsq
add:easy,0.004006677002300001,0.133353515784,0.0508074000777,5.563369999999999e-07,0.00485777311775,3.13625,0.7835727670206121,0.9964257347100872,node_local,8.726272239124997,0.1919380108406612,4.5514622063750005,0.1919380108406612,5.1954284044705945
barnes:splash2x,0.642933591438,1.1519009272799998,0.244488574495,0.00251507420325,0.019386873006,10.453125,0.9985074626865672,1.008928032816553,autonuma,163.63881441425002,1.4020913211136268,46.059331646125,1.4020913211136268,64.34884587507919
bt.c:npb,10.1269661376,67.8925738934,23.4636864502,2.96956095576,12.0915268275,434.68,1.4586118305841889,1.0815911716999238,interleave,5056.95969025625,18.120953133024283,668.8893801143751,18.120953133024283,1788.8965521576017
cg.c:npb,1.82625031899,24.4793928406,8.65825595384,0.057061987316800004,0.06637365258719999,178.005,5.023866222151664,4.13400296107063,interleave,450.51020641724995,4.2174105632666885,121.65669943525002,4.2174105632666885,181.08088706842713
ch:easy,0.472609049367,6.1573809519500005,2.9950491477,6.5577705e-06,0.0299244992298,35.074375,1.7166498424642869,4.612394180981344,autonuma,135.55366840487497,1.8416217535459407,42.66701763275001,1.8416217535459407,61.93586347717037
cholesky:splash2x,0.0557574650026,0.0370881239123,0.0016669613159000002,3.830279925e-05,0.00022257724375,1.20125,0.9161105815061964,0.9746450304259636,node_local,1.0598510641250003,0.013259500300561942,0.30265995724999994,0.013259500300561942,0.46814161495789935
ep.c:npb,0.941284758117,3.2528033199299995,1.25031675539,2.504359e-06,0.0137076110135,21.29875,1.1732828369771044,1.1610111747070049,interleave,89.349027674375,1.9124995271216585,43.576225814625005,1.9124995271216585,52.251451210432236
fft:splash2x,0.294779666233,0.912990003695,0.412009020152,0.043244754801000006,0.40493590159,41.105,1.0566498505832074,1.0600390052060669,autonuma,79.23204618,1.226630188991872,31.098785216625,1.226630188991872,38.45799230550568
fmm:splash2x,0.7539778199089999,0.835160896595,0.199517627054,0.0003385586005,0.024398164912,13.61625,1.0167071121896585,1.0766493699036324,autonuma,62.05376991012501,0.6415393610447748,16.2458317735,0.6415393610447748,25.655571126150857
ft.c:npb,0.329188098739,1.89538939204,0.8471095508670001,0.116772928928,0.521064955739,22.1475,1.5562582345191045,1.2700620049460594,interleave,142.75694039775001,1.0788491043510136,32.5793696375,1.0788491043510136,54.67738109536283
lu.c:npb,0.249407060522,0.904823166322,0.23024283242,0.0407624577692,0.0977387325235,4.928125,1.1048059408715143,1.0196560196560196,interleave,88.29893253562503,0.5121731071208722,16.73078336825,0.5121731071208722,32.47547843801566
lu:easy,1.14720888405,21.4477463738,10.4914468049,5.1622938e-05,0.096890365486,120.898125,3.793700602090648,6.8463580377999556,autonuma,268.51614943387494,4.738480396630113,97.75214174250002,4.738480396630113,139.66213274637104
lu_cb:splash2x,1.32097775295,0.925647830631,0.08351796610960001,0.0026583971565000003,0.00150181047175,14.463125,1.000432320262851,0.9606060606060606,interleave,114.95267881387501,0.7369125548722104,21.527394181125004,0.7369125548722104,42.841672205761824
lu_ncb:splash2x,1.31607071477,1.41063250236,0.199552281393,0.0001186778995,0.011278565890000002,14.56375,1.031929498250742,0.9772689146116424,interleave,264.68609634949996,2.129270089579059,55.416222603875,2.129270089579059,102.64868309221677
mg.c:npb,0.510488498224,8.71108088402,4.18873276101,2.4056614402000003,0.236623864182,90.0075,2.945572804810701,1.9568443079598885,interleave,231.42680174249998,5.8672488622451775,145.64713069287504,5.8672488622451775,152.0875429075045
ocean_cp:splash2x,0.359647814861,5.35738027813,3.09636233848,0.943952312611,0.239460039377,86.26,3.1660855202789504,2.4905442471488377,interleave,435.4841459106249,3.979065575811799,108.61798408387502,3.979065575811799,173.94322812364996
ocean_ncp:splash2x,0.35651344601,2.45417299714,1.2673676580500002,0.047210942847199996,0.31160450877900003,34.43875,1.1112410761101923,1.0337698397808712,interleave,507.89423644400017,1.945734520091689,70.118800345125,1.945734520091689,180.30793030637656
prod:easy,2.5422346411000003,65.6645166622,30.8923948062,3.723005175e-05,0.0161788552115,380.426875,1.9701220558200647,2.915776867619937,autonuma,4490.366172815251,68.37760089378816,1387.955119863375,68.37760089378816,2161.9216861079803
radiosity:splash2x,0.256067062091,0.693611728954,0.176326266074,1.933897625e-05,0.00162355457525,5.119375,0.9030871003307608,0.9934505761067312,node_local,5.336283267,0.08639943312667105,2.0600598908750003,0.08639943312667105,2.6496127379395396
radix:splash2x,0.0470249158274,0.387066366663,0.181824564632,1.628354725e-05,0.115131654336,3.5025,0.7108968666751236,1.029012118986412,autonuma,46.179749134750004,0.16922935737908373,6.283006686250001,0.16922935737908373,16.35475736286095
raytrace:splash2x,0.783720403337,2.42879655765,0.37009255597,0.0027927141455,0.0093066398095,15.22625,0.9609498264436732,0.9524591445773712,node_local,150.15041015187498,2.3422531162231843,54.10285746950001,2.3422531162231843,73.15610435024217
sp.c:npb,17.3448699761,250.00727136400002,62.1397911913,3.79779038796,22.260152182600002,1467.5975,1.5073849250979607,1.1606900209533142,interleave,3752.4614033068747,38.994581713219354,888.667285102625,38.994581713219354,1553.860688662253
volrend:splash2x,0.0010418762916,0.002907730899,0.0009978119071,2.412725e-08,0.0001081264545,1.124375,0.9661654135338344,1.0084080717488788,autonuma,0.693048418125,0.012675543869447874,0.2853133185,0.012675543869447874,0.36788832081632
